,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
0,xgboost,abalone_size_4177,20,4177,0,0.1,400,3,0,0,0,0,0,0,0,0,0,0,0,0,2.12543,0.0471992,0,0,0,0,0,0,2.20389,0.109486,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
1,xgboost,abalone_size_4177,20,4177,0,0.2,300,2,0,0,0,0,0,0,0,0,0,0,0,0,2.13887,0.0443546,0,0,0,0,0,0,2.2109,0.112316,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
2,xgboost,abalone_size_4177,20,4177,0,0.3,50,5,0,0,0,0,0,0,0,0,0,0,0,0,2.12703,0.0307405,0,0,0,0,0,0,2.2044,0.114898,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
3,xgboost,abalone_size_4177,20,4177,0,0.3,200,2,0,0,0,0,0,0,0,0,0,0,0,0,2.12432,0.0452912,0,0,0,0,0,0,2.20825,0.116082,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
4,xgboost,abalone_size_4177,20,4177,0,0.2,150,5,0,0,0,0,0,0,0,0,0,0,0,0,2.11141,0.0484357,0,0,0,0,0,0,2.19441,0.109573,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
5,xgboost,abalone_size_4177,20,4177,0,0.3,500,2,0,0,0,0,0,0,0,0,0,0,0,0,2.12955,0.0490856,0,0,0,0,0,0,2.20644,0.108847,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
6,xgboost,abalone_size_4177,20,4177,0,0.3,150,5,0,0,0,0,0,0,0,0,0,0,0,0,2.07429,0.0668234,0,0,0,0,0,0,2.19337,0.113087,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
7,xgboost,abalone_size_4177,20,4177,0,0.1,200,3,0,0,0,0,0,0,0,0,0,0,0,0,2.12877,0.0383514,0,0,0,0,0,0,2.20302,0.113559,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
9,xgboost,abalone_size_4177,20,4177,0,0.1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
10,xgboost,abalone_size_4177,20,4177,0,0.3,50,6,0,0,0,0,0,0,0,0,0,0,0,0,2.10261,0.0350265,0,0,0,0,0,0,2.19429,0.117242,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
11,xgboost,abalone_size_4177,20,4177,0,0.2,50,2,0,0,0,0,0,0,0,0,0,0,0,0,2.43726,0.0319493,0,0,0,0,0,0,2.45508,0.107304,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
14,xgboost,abalone_size_4177,20,4177,0,0.2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
16,xgboost,abalone_size_4177,20,4177,0,0.3,300,5,0,0,0,0,0,0,0,0,0,0,0,0,1.95598,0.0724914,0,0,0,0,0,0,2.1701,0.109685,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
20,xgboost,abalone_size_4177,20,4177,0,0.3,500,3,0,0,0,0,0,0,0,0,0,0,0,0,2.09773,0.0520644,0,0,0,0,0,0,2.19385,0.12753,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
24,xgboost,abalone_size_4177,20,4177,0,0.2,150,6,0,0,0,0,0,0,0,0,0,0,0,0,2.06986,0.0540956,0,0,0,0,0,0,2.17899,0.114199,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
26,xgboost,abalone_size_4177,20,4177,0,0.2,200,2,0,0,0,0,0,0,0,0,0,0,0,0,2.14593,0.0365268,0,0,0,0,0,0,2.21257,0.119356,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
27,xgboost,abalone_size_4177,20,4177,0,0.2,25,5,0,0,0,0,0,0,0,0,0,0,0,0,3.02912,0.0312094,0,0,0,0,0,0,3.0279,0.132153,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
30,xgboost,abalone_size_4177,20,4177,0,0.1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,9.49752,0.0244303,0,0,0,0,0,0,9.49709,0.0972284,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
31,xgboost,abalone_size_4177,20,4177,0,0.2,150,2,0,0,0,0,0,0,0,0,0,0,0,0,2.13503,0.0430702,0,0,0,0,0,0,2.21036,0.110904,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
36,xgboost,abalone_size_4177,20,4177,0,0.2,100,6,0,0,0,0,0,0,0,0,0,0,0,0,2.0933,0.0492729,0,0,0,0,0,0,2.1914,0.109309,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
37,xgboost,abalone_size_4177,20,4177,0,0.2,10,6,0,0,0,0,0,0,0,0,0,0,0,0,6.75283,0.0271003,0,0,0,0,0,0,6.75206,0.107492,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
38,xgboost,abalone_size_4177,20,4177,0,0.2,300,6,0,0,0,0,0,0,0,0,0,0,0,0,1.98645,0.050155,0,0,0,0,0,0,2.16585,0.12023,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
39,xgboost,abalone_size_4177,20,4177,0,0.2,100,5,0,0,0,0,0,0,0,0,0,0,0,0,2.0982,0.0484411,0,0,0,0,0,0,2.19385,0.105963,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
41,xgboost,abalone_size_4177,20,4177,0,0.1,200,2,0,0,0,0,0,0,0,0,0,0,0,0,2.17934,0.0310588,0,0,0,0,0,0,2.24024,0.117507,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
43,xgboost,abalone_size_4177,20,4177,0,0.2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,8.56362,0.0251841,0,0,0,0,0,0,8.5631,0.100144,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
44,xgboost,abalone_size_4177,20,4177,0,0.3,50,6,0,0,0,0,0,0,0,0,0,0,0,0,2.08124,0.0319133,0,0,0,0,0,0,2.18645,0.11406,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
45,xgboost,abalone_size_4177,20,4177,0,0.2,600,5,0,0,0,0,0,0,0,0,0,0,0,0,2.0998,0.0469603,0,0,0,0,0,0,2.18932,0.108878,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
47,xgboost,abalone_size_4177,20,4177,0,0.2,400,3,0,0,0,0,0,0,0,0,0,0,0,0,2.00757,0.0397819,0,0,0,0,0,0,2.16641,0.123912,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
48,xgboost,abalone_size_4177,20,4177,0,0.1,400,2,0,0,0,0,0,0,0,0,0,0,0,0,2.06977,0.0290543,0,0,0,0,0,0,2.1777,0.12126,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
49,xgboost,abalone_size_4177,20,4177,0,0.2,600,2,0,0,0,0,0,0,0,0,0,0,0,0,2.03908,0.0346025,0,0,0,0,0,0,2.16864,0.123978,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
51,xgboost,abalone_size_4177,20,4177,0,0.1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,9.49752,0.0244303,0,0,0,0,0,0,9.49709,0.0972284,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
53,xgboost,abalone_size_4177,20,4177,0,0.1,300,6,0,0,0,0,0,0,0,0,0,0,0,0,2.01282,0.0362738,0,0,0,0,0,0,2.16596,0.112839,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
63,xgboost,abalone_size_4177,20,4177,0,0.3,50,5,0,0,0,0,0,0,0,0,0,0,0,0,2.10283,0.0301427,0,0,0,0,0,0,2.19063,0.118646,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
64,xgboost,abalone_size_4177,20,4177,0,0.1,500,5,0,0,0,0,0,0,0,0,0,0,0,0,1.99078,0.0551754,0,0,0,0,0,0,2.1666,0.118675,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
65,xgboost,abalone_size_4177,20,4177,0,0.3,50,2,0,0,0,0,0,0,0,0,0,0,0,0,2.2584,0.0328933,0,0,0,0,0,0,2.3016,0.113126,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
71,xgboost,abalone_size_4177,20,4177,0,0.2,400,5,0,0,0,0,0,0,0,0,0,0,0,0,1.97096,0.0579796,0,0,0,0,0,0,2.16974,0.118139,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
72,xgboost,abalone_size_4177,20,4177,0,0.1,100,6,0,0,0,0,0,0,0,0,0,0,0,0,2.28988,0.0386368,0,0,0,0,0,0,2.32631,0.105323,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
74,xgboost,abalone_size_4177,20,4177,0,0.1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,9.49752,0.0244303,0,0,0,0,0,0,9.49709,0.0972284,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,1,1,2,0,0
76,xgboost,abalone_size_4177,20,4177,0,0.1,600,3,0,0,0,0,0,0,0,0,0,0,0,0,2.02939,0.0451338,0,0,0,0,0,0,2.16716,0.122598,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,15,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
79,xgboost,abalone_size_4177,20,4177,0,0.1,50,3,0,0,0,0,0,0,0,0,0,0,0,0,3.05001,0.026799,0,0,0,0,0,0,3.04819,0.132665,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,1,0,0,0,1,2,0,0
