method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
,abalone_size_4177,1000,4177,0,0.1,50,6,1,0.0499891,410,0.0260372,89.1515,0.05,0,0,0,0,0,0,3.45241,0.325257,0,0,0,0,0,0,3.45173,0.333919,0.04,0,0,0,0.3,0,0.1,0,0,0,0.3,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,150,6,1,0.0499311,454,0.023531,170.361,0.05,0,0,0,0,0,0,3.01528,0.173247,0,0,0,0,0,0,3.01696,0.184276,0.04,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.1,0.5,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,6,1,0.0499655,569,0.018296,125.112,0.05,0,0,0,0,0,0,3.07761,0.120591,0,0,0,0,0,0,3.0783,0.133408,0.04,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.3,0.5,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,100,2,1,0.0499572,412,0.0261338,125.857,0.05,0,0,0,0,0,0,3.09365,0.214412,0,0,0,0,0,0,3.09286,0.223019,0.3,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,100,2,1,0.0499647,454,0.0235646,139.099,0.05,0,0,0,0,0,0,2.92065,0.156351,0,0,0,0,0,0,2.92018,0.168926,0.3,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.1,0.5,0,1,0,0,1,0,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,100,2,1,0.0499706,570,0.0183336,176.618,0.05,0,0,0,0,0,0,2.99826,0.201824,0,0,0,0,0,0,2.99944,0.215658,0.3,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.3,0.5,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,100,2,1,0.0499572,412,0.0261338,125.857,0.05,0,0,0,0,0,0,3.07744,0.22968,0,0,0,0,0,0,3.07721,0.240527,0.5,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,2.91898,0.135477,0,0,0,0,0,0,2.92034,0.149756,0.5,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,0,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499655,569,0.018296,125.112,0.05,0,0,0,0,0,0,2.98403,0.164432,0,0,0,0,0,0,2.98465,0.181278,0.5,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.3,1,0,1,0,0,1,0,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,6,1,0.0499255,413,0.0261658,888.369,0.05,0,0,0,0,0,0,3.95705,0.459198,0,0,0,0,0,0,3.95864,0.458243,0.04,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,6,1,0.049951,455,0.0236029,1020.28,0.05,0,0,0,0,0,0,3.10108,0.221815,0,0,0,0,0,0,3.10159,0.230522,0.04,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0.1,1,0,1,1,100,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,6,1,0.049983,570,0.0183459,1248.88,0.05,0,0,0,0,0,0,3.1367,0.235516,0,0,0,0,0,0,3.13948,0.246114,0.04,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0.3,1,0,1,1,5,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499255,413,0.0261658,888.369,0.05,0,0,0,0,0,0,3.23572,0.318535,0,0,0,0,0,0,3.23616,0.324632,0.3,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499478,455,0.0235996,981.834,0.05,0,0,0,0,0,0,2.98445,0.20531,0,0,0,0,0,0,2.98463,0.217649,0.3,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499757,571,0.0183709,1246.63,0.05,0,0,0,0,0,0,3.07066,0.253343,0,0,0,0,0,0,3.07186,0.263886,0.3,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0.3,1,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499255,413,0.0261658,888.369,0.05,0,0,0,0,0,0,3.23824,0.344733,0,0,0,0,0,0,3.23896,0.34513,0.5,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499478,455,0.0235996,981.834,0.05,0,0,0,0,0,0,3.02416,0.235833,0,0,0,0,0,0,3.02488,0.243941,0.5,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0.1,0.5,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0499757,571,0.0183709,1246.63,0.05,0,0,0,0,0,0,3.13019,0.290909,0,0,0,0,0,0,3.13276,0.302015,0.5,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0.3,0.5,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,6,1,0.0998627,218,0.0518026,46.3059,0.1,0,0,0,0,0,0,3.06876,0.193863,0,0,0,0,0,0,3.07128,0.205627,0.04,0,0,0,0.5,0,0.1,0,0,0,0.5,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,150,6,1,0.0999238,241,0.0468883,88.0563,0.1,0,0,0,0,0,0,2.8244,0.0843191,0,0,0,0,0,0,2.82696,0.0996832,0.04,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.1,0.5,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,100,6,1,0.0999208,303,0.0364799,100.066,0.1,0,0,0,0,0,0,2.87521,0.0948539,0,0,0,0,0,0,2.87615,0.110561,0.04,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0.3,1,0,1,1,5,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,150,2,1,0.0999162,219,0.0520976,79.6593,0.1,0,0,0,0,0,0,2.81238,0.100887,0,0,0,0,0,0,2.8123,0.122108,0.3,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,1000,4177,0,0.1,50,2,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,2.75342,0.0874922,0,0,0,0,0,0,2.75413,0.111659,0.3,0,0,0,0.3,0,0.1,0,0,0,0.3,0,1,15,0.5,0.1,0.5,0,1,0,0,1,1,1,1,1,2,0,0
