,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,add_trees,use_pf,pf_add,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split
0,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.3065,0.389789,0,0,0,0,0,0,3.30624,0.401712,0.2,0,0,0,0.1,0,0.1,0,1,12,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
1,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.21243,0.363608,0,0,0,0,0,0,3.21658,0.377957,0.2,0,0,0,0.1,0,0.1,0,1,25,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
2,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.15764,0.313559,0,0,0,0,0,0,3.15818,0.326731,0.2,0,0,0,0.1,0,0.1,0,1,37,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
3,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.26209,0.401255,0,0,0,0,0,0,3.2579,0.409864,0.2,0,0,0,0.1,0,0.1,0,1,50,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
4,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.67875,0.51343,0,0,0,0,0,0,3.67912,0.52916,0.2,0,0,0,0.1,0,0.1,0,0,0,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
5,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.28731,0.386611,0,0,0,0,0,0,3.29056,0.392966,0.2,0,0,0,0.1,0,0.1,12,0,0,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
6,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.33956,0.511684,0,0,0,0,0,0,3.34222,0.508164,0.2,0,0,0,0.1,0,0.1,25,0,0,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
7,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.31962,0.408097,0,0,0,0,0,0,3.32124,0.421523,0.2,0,0,0,0.1,0,0.1,37,0,0,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
8,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.4653,0.573727,0,0,0,0,0,0,3.46788,0.584843,0.2,0,0,0,0.1,0,0.1,50,0,0,0.1,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
9,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.56,0.447812,0,0,0,0,0,0,3.56466,0.455142,0.2,0,0,0,0.3,0,0.1,0,1,12,0.3,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
10,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.44955,0.37919,0,0,0,0,0,0,3.44957,0.386456,0.2,0,0,0,0.3,0,0.1,0,1,25,0.3,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
11,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.50073,0.442223,0,0,0,0,0,0,3.50606,0.45095,0.2,0,0,0,0.3,0,0.1,0,1,37,0.3,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
12,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.57799,0.464357,0,0,0,0,0,0,3.58498,0.462725,0.2,0,0,0,0.3,0,0.1,0,1,50,0.3,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
13,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,4.04192,0.706365,0,0,0,0,0,0,4.03571,0.697689,0.2,0,0,0,0.3,0,0.1,0,0,0,0.3,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
14,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,3.70967,0.612042,0,0,0,0,0,0,3.70511,0.607118,0.2,0,0,0,0.3,0,0.1,12,0,0,0.3,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
15,sbdt,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,4.0397,0.690405,0,0,0,0,0,0,4.04582,0.684423,0.2,0,0,0,0.3,0,0.1,25,0,0,0.3,0,1,1,0.5,0.1,1,0,1,0,0,1,1,1,add,1,2,0
