method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0499572,412,0.0261338,125.857,0.05,0,0,0,0,0,0,3.17385,0.276754,0,0,0,0,0,0,3.17026,0.357163,0.2,0,0,0,0.1,0,0.1,1,25,0,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0499572,412,0.0261338,125.857,0.05,0,0,0,0,0,0,3.12597,0.25346,0,0,0,0,0,0,3.11883,0.326477,0.2,0,0,0,0.1,0,0.1,0,0,25,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,2.90082,0.22248,0,0,0,0,0,0,2.90048,0.230759,0.2,0,0,0,0.1,0,0.1,1,50,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.1,50,4,1,0.0499815,453,0.0235292,98.5329,0.05,0,0,0,0,0,0,2.96941,0.283895,0,0,0,0,0,0,2.96697,0.310147,0.2,0,0,0,0.1,0,0.1,0,0,25,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.3,10,2,1,0.0499809,413,0.0262211,443.715,0.05,0,0,0,0,0,0,3.71582,0.606828,0,0,0,0,0,0,3.69619,0.639279,0.5,0,0,0,0.1,0,1,0,0,0,0.1,0,1,15,0.5,0,0,0,1,1,5,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.1,50,2,1,0.0998627,218,0.0518026,46.3059,0.1,0,0,0,0,0,0,2.86309,0.145671,0,0,0,0,0,0,2.86241,0.224938,0.2,0,0,0,0.3,0,0.1,1,37,0,0.3,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.1,100,2,1,0.099903,219,0.0520844,65.1527,0.1,0,0,0,0,0,0,2.93957,0.152532,0,0,0,0,0,0,2.92768,0.246919,0.2,0,0,0,0.1,0,0.1,0,0,25,0.1,0,1,15,0.5,0,0,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.1,100,2,1,0.0998959,241,0.0468604,72.0212,0.1,0,0,0,0,0,0,2.744,0.101671,0,0,0,0,0,0,2.74519,0.169688,0.2,0,0,0,0.1,0,0.1,1,100,0,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.1,50,6,1,0.0999746,240,0.0467416,51.1014,0.1,0,0,0,0,0,0,2.80213,0.0907425,0,0,0,0,0,0,2.79583,0.151767,0.2,0,0,0,0.1,0,0.1,0,0,25,0.1,0,1,15,0.5,0.1,1,0,1,0,0,1,1,1,1,1,2,0,0
,abalone_size_4177,200,4177,1,0.3,5,2,1,0.0999392,220,0.0523598,177.518,0.1,0,0,0,0,0,0,3.36425,0.392949,0,0,0,0,0,0,3.35309,0.431842,0.5,0,0,0,0.3,0,1,0,0,0,0.3,0,1,15,0.5,0,0,0,1,1,5,1,1,1,1,1,2,0,0
