,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
0,xgboost,adult_size_48842,20,30162,0,0.3,150,5,0,0,0,0,0,0,0.913927,0.0048597,86.0619,0.129949,85.9965,0.123495,0,0,0.910563,0.00738514,85.7536,0.697909,85.5712,0.779877,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
1,xgboost,adult_size_48842,20,30162,0,0.2,50,6,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
2,xgboost,adult_size_48842,20,30162,0,0.2,5,6,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
8,xgboost,adult_size_48842,20,30162,0,0.1,500,6,0,0,0,0,0,0,0.917063,0.00560879,86.2343,0.293869,86.1291,0.342467,0,0,0.912318,0.00698734,85.9127,0.734446,85.6508,0.845623,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
9,xgboost,adult_size_48842,20,30162,0,0.1,400,3,0,0,0,0,0,0,0.911026,0.00421164,85.6243,0.156026,85.5074,0.203684,0,0,0.909029,0.00561719,85.548,0.595571,85.2496,0.721766,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
12,xgboost,adult_size_48842,20,30162,0,0.2,100,2,0,0,0,0,0,0,0.888999,0.000927062,84.6355,0.119733,82.8559,0.233996,0,0,0.887393,0.00498228,84.5733,0.499686,82.8261,0.419768,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
15,xgboost,adult_size_48842,20,30162,0,0.3,100,3,0,0,0,0,0,0,0.910106,0.00358642,85.5489,0.151115,85.461,0.103148,0,0,0.908442,0.00369159,85.4419,0.441012,85.3093,0.443352,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
16,xgboost,adult_size_48842,20,30162,0,0.1,50,5,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
17,xgboost,adult_size_48842,20,30162,0,0.2,200,5,0,0,0,0,0,0,0.914739,0.00451039,86.0329,0.169396,85.9127,0.173211,0,0,0.910898,0.00645674,85.7668,0.682869,85.548,0.766377,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
18,xgboost,adult_size_48842,20,30162,0,0.2,150,5,0,0,0,0,0,0,0.911929,0.00340496,85.7196,0.0771985,85.616,0.0689741,0,0,0.90914,0.00562716,85.558,0.617477,85.3557,0.766142,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,0,1,2,0,0
19,xgboost,adult_size_48842,20,30162,0,0.3,5,2,0,0,0,0,0,0,0.5,0.0,24.8922,0.114633,75.1078,0.114633,0,0,0.5,0.0,24.8922,0.458498,75.1078,0.458498,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,10,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
20,xgboost,adult_size_48842,20,30162,0,0.3,500,2,0,0,0,0,0,0,0.91246,0.00364272,85.7064,0.106003,85.5911,0.141025,0,0,0.910666,0.00535617,85.5878,0.657316,85.4121,0.743553,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
22,xgboost,adult_size_48842,20,30162,0,0.1,600,2,0,0,0,0,0,0,0.912568,0.00318468,85.65,0.147355,85.5348,0.169073,0,0,0.911012,0.00471558,85.6177,0.558445,85.3458,0.594661,0,0,-1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,0,1,0,0,-1,1,0,0,1,1,2,0,0
