method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
,adult_size_48842,200,30162,0,0.1,100,5,1,0.00999998,1759,0.00525651,58.157,0.01,0.773995,0.0384949,77.3138,1.4461,75.8122,0.802573,0,0,0.773926,0.0380596,77.3566,1.48932,75.8187,0.878112,0,0,0.04,0,0,0,0.5,0.1,0.01,0,0,0,0.5,0.1,1,10,100,0,0,1,1,0,0,1,0,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,50,5,1,0.00999758,1751,0.00522982,41.3514,0.01,0.787507,0.0348457,77.4475,1.4947,75.1772,0.187367,0,0,0.787215,0.0357455,77.4879,1.57626,75.1746,0.386983,0,0,0.04,0,0,0,0.5,0.1,0.01,0,0,0,0.5,0.1,1,10,100,0,0.5,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,50,5,1,0.00999758,1751,0.00522982,41.3514,0.01,0.778587,0.0397944,77.1743,1.47516,75.1684,0.176044,0,0,0.778243,0.040146,77.2613,1.51066,75.1639,0.374009,0,0,0.04,0,0,0,0.5,0.1,0.01,0,0,0,0.5,0.1,1,10,100,0,0.1,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,25,5,1,0.00998823,1736,0.00517429,29.5735,0.01,0.779417,0.0410446,77.3662,1.50746,75.1296,0.100032,0,0,0.779109,0.0418301,77.4638,1.4978,75.1281,0.342305,0,0,0.1,0,0,0,0.5,0.1,0.01,0,0,0,0.5,0.1,1,10,100,0,0,1,1,0,0,1,0,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,50,6,1,0.00999758,1751,0.00522982,41.3514,0.01,0.78694,0.0387341,77.4798,1.59519,75.2677,0.332945,0,0,0.786463,0.0388437,77.5192,1.67182,75.2763,0.458747,0,0,0.1,0,0,0,0.5,0.1,0.01,0,0,0,0.5,0.1,1,10,100,0,0.5,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,50,3,1,0.00999758,1751,0.00522982,41.3514,0.01,0.775894,0.0413608,77.1723,1.53984,75.126,0.126364,0,0,0.775729,0.0404158,77.2155,1.55398,75.1247,0.338136,0,0,0.1,0,0,0,0.5,0.1,0.01,0,0,0,0.5,0.1,1,10,100,0,0.5,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,50,5,1,0.00999758,1751,0.00522982,41.3514,0.01,0.762054,0.0425034,76.5679,1.22724,75.1078,0.0808264,0,0,0.762268,0.0426964,76.6138,1.28476,75.1078,0.323321,0,0,0.5,0,0,0,0.1,0.1,0.01,0,0,0,0.1,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,50,6,1,0.00999758,1751,0.00522982,41.3514,0.01,0.753662,0.0459652,76.7964,1.33448,75.1174,0.0834734,0,0,0.752964,0.0461613,76.8463,1.41613,75.1165,0.326174,0,0,0.5,0,0,0,0.3,0.1,0.01,0,0,0,0.3,0.1,1,10,100,0,0.5,1,1,0,0,1,0,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,25,6,1,0.00998823,1736,0.00517429,29.5735,0.01,0.765384,0.0442961,76.7661,1.45487,75.1078,0.0809495,0,0,0.76461,0.0446541,76.7947,1.42925,75.1079,0.323117,0,0,0.5,0,0,0,0.1,0.25,0.01,0,0,0,0.1,0.25,1,10,100,0,1,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,0,0.1,200,5,1,0.00999999,1768,0.00528357,8180.74,0.01,0.753366,0.0534768,76.8677,1.49377,76.399,1.54776,0,0,0.753563,0.053659,76.9583,1.49142,76.3968,1.55046,0,0,0.04,0,0,0,0.5,0.1,1,0,0,0,0.5,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
