,method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,add_trees,use_pf,pf_add,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split
0,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.518665,0.0977032,75.0124,3.58779,75.1078,0.128811,0,0,0.519302,0.0977325,74.7766,5.00545,75.1078,0.515241,0,0,0.5,0,0,0,0.1,0.1,1.0,0,0,0,0.1,0.1,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
1,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.523125,0.114907,75.3326,0.564604,75.1085,0.155879,0,0,0.521118,0.115182,75.3488,0.72523,75.1109,0.462577,0,0,0.5,0,0,0,0.1,0.1,1.0,6,0,0,0.1,0.1,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
2,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.562639,0.123964,75.4274,0.669062,73.7797,4.25348,0,0,0.561519,0.123557,75.4366,0.878426,73.7615,4.35563,0,0,0.5,0,0,0,0.1,0.1,1.0,12,0,0,0.1,0.1,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
3,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.590165,0.116516,75.4528,0.733755,58.0485,16.9979,0,0,0.590814,0.116442,75.4704,0.880812,58.0341,17.0219,0,0,0.5,0,0,0,0.1,0.1,1.0,18,0,0,0.1,0.1,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
4,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.613062,0.110486,75.4222,0.799166,37.1246,15.9331,0,0,0.612591,0.11033,75.3461,1.11073,37.1037,15.9429,0,0,0.5,0,0,0,0.1,0.1,1.0,25,0,0,0.1,0.1,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
5,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.525905,0.113223,75.2894,0.506121,75.1078,0.119686,0,0,0.525326,0.113204,75.2692,0.665118,75.1078,0.478744,0,0,0.5,0,0,0,0.1,0.25,1.0,0,0,0,0.1,0.25,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
6,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.543834,0.123978,75.3583,0.622786,75.1064,0.138924,0,0,0.543536,0.124068,75.3485,0.77482,75.1064,0.547815,0,0,0.5,0,0,0,0.1,0.25,1.0,6,0,0,0.1,0.25,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
7,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.581828,0.113385,75.4458,0.699904,74.6919,3.27083,0,0,0.580673,0.113591,75.47,0.882993,74.7102,3.24504,0,0,0.5,0,0,0,0.1,0.25,1.0,12,0,0,0.1,0.25,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
8,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.590549,0.127364,75.5297,0.850219,71.2106,9.00941,0,0,0.590072,0.128247,75.5519,1.03458,71.2169,8.92962,0,0,0.5,0,0,0,0.1,0.25,1.0,18,0,0,0.1,0.25,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
9,maddock,adult_size_48842,200,30162,1,0.3,25,2,1,0.00999406,1769,0.00528063,3035.2,0.01,0.612595,0.115242,75.6099,0.979459,58.5463,17.9788,0,0,0.613031,0.114414,75.639,1.12811,58.6065,18.0044,0,0,0.5,0,0,0,0.1,0.25,1.0,25,0,0,0.1,0.25,1,1,100,0,1.0,1,1,1,5,1,1,1,add,1,2,0
