method,dataset,runs,nb_samples,learning_streams,learning_rate,nb_trees,max_depth,use_dp,real_eps,alpha,rho,sigma,privacy_budget,train_auc_mean,train_auc_std,train_accuracy_mean,train_accuracy_std,train_untuned_accuracy_mean,train_untuned_accuracy_std,train_rmse_mean,train_rmse_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_untuned_accuracy_mean,test_untuned_accuracy_std,test_rmse_mean,test_rmse_std,r1,glc,gdf,bal_p,l2_thr,hess_l2_thr,Q,use_pf,pf_add,add_trees,pf_l2_thr,pf_hess_l2_thr,pf_Q_factor,lambda,feature_val_u_border,init_ratio,init_thr,newton,cyclical_fi,refine_splits,rs_rounds,rs_subsample,ignore_split_constraints,random_splits_from_candidates,lambda_reg_mode,cut_off_leaf_denom,reg_delta,min_samples_split,split_pb_ratio
,adult_size_48842,200,30162,1,0.1,50,6,1,0.00999999,1766,0.00527758,409.427,0.01,0.714863,0.0740166,76.1405,1.20148,75.5492,0.849486,0,0,0.714584,0.0735461,76.1655,1.31772,75.5136,0.978358,0,0,0.1,0,0,0,0.5,0.1,0.1,1,50,0,0.5,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,200,6,1,0.00999999,1768,0.00528356,818.269,0.01,0.703761,0.0748794,75.9342,1.13063,44.3785,15.3529,0,0,0.703533,0.0750454,75.9745,1.14295,44.3545,15.4424,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0,200,0.1,0.1,1,1,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.3,25,6,1,0.00999406,1769,0.00528063,3035.2,0.01,0.644092,0.10197,75.2133,1.35098,44.215,15.1593,0,0,0.643331,0.102849,75.2751,1.39138,44.1747,15.1712,0,0,0.5,0,0,0,0.1,0.1,1,0,0,25,0.1,0.1,1,1,100,0,0,1,1,1,5,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,200,6,1,0.0199892,947,0.0105193,424.524,0.02,0.79474,0.0300854,78.0674,1.41763,77.5672,1.38242,0,0,0.794513,0.0307916,78.1445,1.41645,77.5313,1.39868,0,0,0.1,0,0,0,0.3,0.1,0.1,1,200,0,0.3,0.1,1,1,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,200,6,1,0.0199892,947,0.0105193,424.524,0.02,0.749147,0.053067,76.2912,1.37903,28.3771,6.90976,0,0,0.749091,0.0539057,76.3138,1.52147,28.3766,6.94123,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0,150,0.1,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.3,25,6,1,0.0199921,947,0.0105223,1573.21,0.02,0.663732,0.0922965,75.3934,1.60623,36.8682,11.3484,0,0,0.663766,0.0925682,75.4032,1.65829,36.8006,11.4049,0,0,0.5,0,0,0,0.1,0.1,1,0,0,25,0.1,0.1,1,10,100,0,0,1,1,1,5,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,400,6,1,0.0299814,656,0.0157435,408.401,0.03,0.82047,0.0200675,79.1868,1.22253,75.9583,0.721726,0,0,0.820741,0.0199673,79.2694,1.29301,75.9568,0.885077,0,0,0.1,0,0,0,0.1,0.1,0.1,1,400,0,0.1,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,200,6,1,0.0299926,656,0.0157547,288.783,0.03,0.775267,0.0395113,76.98,1.58216,26.8961,3.37605,0,0,0.774833,0.0403469,77.0067,1.59921,26.9031,3.47825,0,0,0.1,0,0,0,0.1,0.25,0.1,0,0,200,0.1,0.25,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.3,25,6,1,0.0299638,657,0.0157499,1071.05,0.03,0.66987,0.0905878,75.7207,1.2507,35.1549,9.32907,0,0,0.668802,0.0908915,75.6021,1.54666,35.144,9.36017,0,0,0.5,0,0,0,0.1,0.1,1,0,0,25,0.1,0.1,1,10,100,0,0,1,1,1,5,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,400,6,1,0.0998871,220,0.0523077,129.861,0.1,0.867542,0.00594931,82.2518,0.42844,82.0634,0.450326,0,0,0.867071,0.00752346,82.3237,0.642176,82.0291,0.646336,0,0,0.1,0,0,0,0.3,0.1,0.1,1,400,0,0.3,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,200,6,1,0.0998333,219,0.0520147,91.9826,0.1,0.801049,0.0329748,77.9289,1.61389,68.2108,6.40543,0,0,0.80051,0.0340514,77.9806,1.62,68.1724,6.49209,0,0,0.1,0,0,0,0.1,0.25,0.1,0,0,100,0.1,0.25,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.3,25,6,1,0.0998468,220,0.0522674,340.222,0.1,0.664943,0.0901893,73.8213,3.72234,27.0088,4.66546,0,0,0.664355,0.0906711,73.5729,4.7367,27.0075,4.70894,0,0,0.5,0,0,0,0.3,0.25,1,0,0,25,0.3,0.25,1,10,100,0,0,1,1,1,5,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,400,6,1,0.499261,51,0.261476,28.1075,0.5,0.892467,0.00204125,83.9115,0.19209,83.84,0.193035,0,0,0.891721,0.00479423,83.9073,0.572954,83.7542,0.569278,0,0,0.1,0,0,0,0.5,0.1,0.1,1,400,0,0.5,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.1,200,6,1,0.499236,50,0.256189,20.0008,0.5,0.829818,0.0158083,79.079,1.33459,25.1137,0.54221,0,0,0.829821,0.016087,79.1366,1.35134,25.1138,0.650793,0,0,0.1,0,0,0,0.1,0.1,0.1,0,0,100,0.1,0.1,1,10,100,0,0,1,1,0,0,1,1,1,1,1,2,0,0
,adult_size_48842,200,30162,1,0.3,25,6,1,0.499815,51,0.26203,73.1604,0.5,0.727293,0.0604835,76.4178,1.12828,25.1151,0.687028,0,0,0.725975,0.0602578,76.3955,1.29129,25.11,0.722662,0,0,0.5,0,0,0,0.1,0.1,1,0,0,25,0.1,0.1,1,10,100,0,0,1,1,1,5,1,1,1,1,1,2,0,0
